;C1_TT101 (°C);C1_TT111 (°C);C1_PT801 (barA);C1_PT802 (barA); (); ();C2_TT101 (°C);C2_TT111 (°C);
05/03/2019 06:51:45;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:52:05;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:52:25;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:52:45;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:53:05;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:53:25;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:53:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:54:07;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:54:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:54:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:55:07;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:55:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:55:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:56:07;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:56:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:56:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:57:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:57:29;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:57:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:58:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:58:30;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:58:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:59:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:59:29;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:59:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:00:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:00:31;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:00:51;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:01:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:01:31;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:01:51;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:02:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 07:02:31;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:02:51;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:03:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:03:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:03:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:04:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:04:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:04:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:05:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:05:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:05:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:06:15;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:06:35;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:06:55;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:07:15;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:07:35;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:07:55;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:08:15;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:08:35;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:08:55;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:09:15;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:09:37;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:09:57;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:10:17;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:10:37;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:10:57;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:11:17;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:11:37;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:11:57;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:12:17;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:12:39;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:12:59;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:13:19;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:13:39;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:13:59;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:14:19;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:14:39;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:14:59;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:15:19;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:15:41;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:16:01;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:16:21;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:16:41;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:17:01;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:17:21;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:17:41;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:18:01;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:18:21;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:18:43;-0.01;19.3;0;0;0;22;0;0.01;
05/03/2019 07:19:03;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:19:23;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:19:43;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:20:04;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:20:23;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:20:43;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:21:03;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:21:23;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:21:45;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:22:05;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:22:25;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:22:45;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:23:05;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:23:25;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:23:45;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:24:05;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:24:25;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:24:47;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:25:07;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:25:27;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:25:47;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:26:07;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:26:27;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:26:47;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:27:07;-0.01;19.3;0;0;0;22;0;0.01;
05/03/2019 07:27:27;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:27:47;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:28:09;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:28:29;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:28:49;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:29:09;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:29:29;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:29:49;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:30:09;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:30:29;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:30:49;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:31:11;-0.01;19.3;0;0;0;22.1;0;0.01;
05/03/2019 07:31:31;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:31:51;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:32:11;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:32:31;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:32:51;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:33:11;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:33:31;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:33:51;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:34:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:34:33;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:34:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:35:13;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:35:34;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:35:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 07:36:13;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:36:33;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:36:53;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:37:15;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:37:35;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:37:55;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:38:15;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:38:36;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:38:55;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:39:15;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:39:35;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:39:55;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:40:16;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:40:37;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:40:57;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:41:17;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:41:37;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:41:57;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:42:17;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:42:37;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:42:57;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:43:18;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:43:39;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:43:59;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:44:19;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:44:39;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:44:59;-0.01;19.3;0;0;0;22.1;0;0;
05/03/2019 07:45:19;-0.01;19.3;0;0;0;22.1;0;0;
