"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
573900;"07/03/2019 09:16:27";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 7 MODE DISPERSING";"Changement d'étape";;tSrFXo
573901;"07/03/2019 09:16:31";"-1:00";"BCO";"PHASE: RECETTE DE PRODUCTION";"Demande de redémarrage";;JZDhQ2
573902;"07/03/2019 09:16:39";"-1:00";"BCO";"Alarme: 100";"Acquittement de l'alarme '100_DEFAUT PRESSION CIRCUIT LUBRIF NON CONFORME' de l'automate HMI_Liaison_1.";;YOZ8X7
573903;"07/03/2019 09:17:07";"-1:00";"BCO";"PHASE: BROYAGE";"En Marche";;D5m6fG
573904;"07/03/2019 09:34:37";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;rykYrP
573905;"07/03/2019 10:53:51";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;PmYiiK
573906;"07/03/2019 11:20:39";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;iqgGZx
573907;"07/03/2019 14:38:13";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'TDA' a ouvert une session avec le groupe 'Technicien de prod.'.";;2spZxX
573908;"07/03/2019 14:43:37";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT";"Demande de lancement";;ZaTOXV
573909;"07/03/2019 14:43:37";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT ETAPE: 1 PRELEVEMENT";"Changement d'étape";;jkOZq0
573910;"07/03/2019 14:58:55";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;+G7kiD
573911;"07/03/2019 15:09:37";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'TDA' a ouvert une session avec le groupe 'Technicien de prod.'.";;+EafZM
573912;"07/03/2019 15:09:41";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT";"Confirmation opérateur";;eIMGSd
573913;"07/03/2019 15:09:41";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT";"Annulée";;jpAsBl
573914;"07/03/2019 15:09:41";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT ETAPE: 0 REPOS";"Changement d'étape";;ZyLb2j
573915;"07/03/2019 15:24:53";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;SqwMsh
573916;"07/03/2019 17:27:57";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'TDA' a ouvert une session avec le groupe 'Technicien de prod.'.";;EIxjIk
573917;"07/03/2019 17:36:19";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT";"Demande de lancement";;RRCu3C
573918;"07/03/2019 17:36:21";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT ETAPE: 1 PRELEVEMENT";"Changement d'étape";;Xxmp1g
573919;"07/03/2019 17:51:31";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;j2I1lq
573920;"07/03/2019 17:53:39";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'TDA' a ouvert une session avec le groupe 'Technicien de prod.'.";;392bqB
573921;"07/03/2019 17:53:45";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT";"Confirmation opérateur";;QYkO0i
573922;"07/03/2019 17:53:45";"-1:00";"TDA";"PHASE: DEMANDE DE PRÉLÈVEMENT ETAPE: 0 REPOS";"Changement d'étape";;UbTZgZ
573923;"07/03/2019 17:57:57";"-1:00";"TDA";"PHASE: BROYAGE";"Appel Opérateur";;RViFfy
573924;"07/03/2019 17:58:53";"-1:00";"TDA";"PHASE: BROYAGE";"Confirmation opérateur";;pCXkPl
573925;"07/03/2019 17:58:53";"-1:00";"TDA";"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;GqHrvt
573926;"07/03/2019 17:58:53";"-1:00";"TDA";"PHASE: BROYAGE ETAPE: 5 ARRET RECIRCULATION";"Changement d'étape";;bmKWjT
573927;"07/03/2019 17:58:53";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE ETAPE: 6 VIDANGE  DE";"Changement d'étape";;BTqxbu
573928;"07/03/2019 17:58:55";"-1:00";"TDA";"PHASE: GESTION POMPE YSTRAL ETAPE: 5 AUTOR. ENTREE  PROD";"Changement d'étape";;SoAdcD
573929;"07/03/2019 17:58:59";"-1:00";"TDA";"PHASE: GESTION POMPE YSTRAL ETAPE: 6 ARRET POMPE ";"Changement d'étape";;smfgJr
573930;"07/03/2019 17:59:03";"-1:00";"TDA";"PHASE: GESTION POMPE YSTRAL";"Annulée";;iPvVzM
573931;"07/03/2019 17:59:03";"-1:00";"TDA";"PHASE: GESTION POMPE YSTRAL ETAPE: 0 REPOS";"Changement d'étape";;/r/hhc
573932;"07/03/2019 17:59:07";"-1:00";"TDA";"PHASE: BROYAGE";"Appel Opérateur";;Vjlkm3
573933;"07/03/2019 17:59:35";"-1:00";"TDA";"PHASE: BROYAGE";"Confirmation opérateur";;gYvNTN
573934;"07/03/2019 17:59:35";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;87O8XV
573935;"07/03/2019 17:59:35";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;3aypL7
573936;"07/03/2019 17:59:35";"-1:00";"TDA";"RECETTE: RECETTE DE PRODUCTION PAS N°13: PHASE N°7 - BROYAGE";"Changement du pas de la recette";;9Uq8Lg
573937;"07/03/2019 17:59:35";"-1:00";"TDA";"PHASE: BROYAGE ETAPE: 0 REPOS";"Changement d'étape";;CH+9az
573938;"07/03/2019 17:59:35";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 1 DEBUT CHARGEMENT";"Changement d'étape";;uHo5xN
573939;"07/03/2019 18:03:53";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE";"Annulée";;KyaUD5
573940;"07/03/2019 18:03:53";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE ETAPE: 0 REPOS";"Changement d'étape";;SEHZBw
573941;"07/03/2019 18:14:51";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;heDMPQ
573942;"07/03/2019 18:57:51";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'TDA' a ouvert une session avec le groupe 'Technicien de prod.'.";;0gvxYb
573943;"07/03/2019 18:58:17";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE";"Confirmation opérateur";;f7v3YS
573944;"07/03/2019 18:58:17";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 2 REMPLISSAGE";"Changement d'étape";;cGKY5d
573945;"07/03/2019 19:15:51";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;SNd1mK
573946;"07/03/2019 19:16:05";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 5 APPOINT";"Changement d'étape";;JXyTFz
573947;"07/03/2019 19:16:07";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;Z8hk0E
573948;"07/03/2019 19:16:23";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 5 APPOINT";"Changement d'étape";;qOwA4s
573949;"07/03/2019 19:16:25";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;1/a9Re
573950;"07/03/2019 19:16:39";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;js9zNZ
573951;"07/03/2019 19:16:39";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 4 FIN CHARGEMENT";"Changement d'étape";;CWEVkT
573952;"07/03/2019 19:17:33";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE";"Confirmation opérateur";;j7KSj2
573953;"07/03/2019 19:17:35";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE";"En Marche";;jf3PPJ
573954;"07/03/2019 19:17:35";"-1:00";"TDA";"RECETTE: RECETTE DE PRODUCTION PAS N°14: PHASE N°2 - CHARGEMENT EAU PURIFIÉE";"Changement du pas de la recette";;azSPCW
573955;"07/03/2019 19:17:35";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE ETAPE: 1 CHAUFFAGE CUVE";"Changement d'étape";;pCV1kG
573956;"07/03/2019 19:17:35";"-1:00";"TDA";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 0 REPOS";"Changement d'étape";;Mhbn72
573957;"07/03/2019 19:17:47";"-1:00";"TDA";"PHASE: GESTION TEMPERATURE";"Demande de pause";;b27DmT
573958;"07/03/2019 19:38:01";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;cq0g0Z
573959;"08/03/2019 05:54:43";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;7/Tgkn
573960;"08/03/2019 05:55:41";"-1:00";"BCO";"PHASE: GESTION TEMPERATURE";"Demande de redémarrage";;1Qd12m
573961;"08/03/2019 06:11:25";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;ybC3K1
573962;"08/03/2019 06:20:43";"-1:00";;"PHASE: GESTION TEMPERATURE ETAPE: 2 VIDANGE  DE";"Changement d'étape";;BzgabA
573963;"08/03/2019 06:21:43";"-1:00";;"PHASE: GESTION TEMPERATURE";"Annulée";;7bJBpR
573964;"08/03/2019 06:21:43";"-1:00";;"PHASE: GESTION POMPE YSTRAL";"En Marche";;uoa2Pu
573965;"08/03/2019 06:21:43";"-1:00";;"PHASE: INTRODUCTION LIQUIDES";"En Marche";;xhJIYb
573966;"08/03/2019 06:21:43";"-1:00";;"RECETTE: RECETTE DE PRODUCTION PAS N°15: PHASE N°3 - GESTION TEMPERATURE";"Changement du pas de la recette";;ZcNRiZ
573967;"08/03/2019 06:21:43";"-1:00";;"PHASE: GESTION POMPE YSTRAL ETAPE: 1 REFROIDISSEMENT";"Changement d'étape";;F6Y0Kk
573968;"08/03/2019 06:21:43";"-1:00";;"PHASE: INTRODUCTION LIQUIDES ETAPE: 1 RECIRCULATION";"Changement d'étape";;xcwdQ6
